небо,sky
воздух,air
облако,cloud
солнце,sun
луна,moon
земля,earth
остров,island
берег,shore
вода,water
море,sea
река,river
озеро,lake
север,north
юг,south
восток,east
запад,west
лес,forest
пустыня,desert
гора,mountain
поле,field
сезон,season
зима,winter
весна,spring
лето,summer
осень,autumn
ветер,wind
дождь,rain
туман,mist
снег,snow
Пожар, огонь,fire
размер,size
метр,metre / meter ˈmiːtər
сантиметр,centimeter
длина,length
высота,height
форма,shape
тело,body
пирамида,Pyramid ˈpɪrəmɪd
поверхность/плоскость,surface
Площадь/область/место,area
Линия,Line
предел,limit
целое,the whole
часть,part
дно,bottom
верхняя часть,top
сторона,side
задняя часть,back
час,hour
день,day
сутки,twenty four hours
год,year
часы,watch
будильник,Alarm clock
Месяца,month
понедельник,Monday
вторник,Tuesday
среда,Wednesday
четверг,Thursday
пятница,Friday
суббота,Saturday
воскресенье,Sunday
прошлое,past
будущее,future
середина,middle
Части дня,Parts of day
утро,morning
время после обеда,afternoon
вечер,evening
ночь,night
перерыв,break
отдых,rest
Праздник / каникулы ,Holiday
Каникулы / отпуск,vacation
отпуск,leave
конец недели,weekend
выходной,day off
будний день,weekday
сталь,steel
серебро,silver
песок,sand
камень,stone
кирпич,brick
стекло,glass
нефть,oil, petroleum
газ,gas
бензин,petrol, gasoline
уголь,coal
шерсть,wool
кожа,leather
шуба,furсoat
Штаны, брюки,Pants
пыль,dust
грязь,dirt
мусор,garbage
Овощи ,Vegetables 
морковь,carrot
огород,kitchen garden
укроп,dill
сливочное масло,butter
картофель,potato
капуста,cabbage
лук,onion
горох,pea
свекла,beet
огурец,cucumber
петрушка,parsley
помидор,tomato
чеснок,garlic
дыня,melon
арбуз,watermelon
фрукты,fruit
различные сорта фруктов,fruits
ягода,berry
яблоко,apple
груша,pear
абрикос,apricot
банан,banana
вишня,cherry
персик,peach
виноград,grape
земляника,strawberry
малина,raspberry
лимон,lemon
апельсин,orange
мандарин,tangerine, mandarin
пшеница,wheat
рис,rice
Овсяные хлопья,Oat flakes
гречка,buckwheat
кукуруза,corn
дерево,tree
куст,bush
роза,rose
Дикие животные,Wild animals
зверь,beast
лев,lion
корова,cow
лошадь,horse
коза,goat
овца,sheep
баран,ram
осел,Donkey ˈdɔːŋki
свинья,pig
щенок,puppy
крыса,rat
птица,bird
гусь,goose
утка,duck
индюк,turkey
попугай,parrot
лебедь,swan
орел,eagle
акула,shark
щука,pike
Насекомые,Insects
муха,fly
пчела,bee
Жук,beetle
муравей,ant
паук,spider
таракан,cockroach
лягушка,frog
змея,snake
черепаха, tortoise /turtle
Возраст ,Age 
sex,пол
Gender,Пол
старик,old man
пожилая женщина,old woman
детство,childhood
ребенок,child
подросток,teenager
Молодежь / молодость,youth
фамилия,surname
визитная карточка,visiting card
Человек,person
вес,weight
Рост / высота,height
кость,bone
мышцы,muscles
кожа,skin
волос,hair
кровь,blood
олова,head
шея,neck
грудь,chest
Грудь (женская),Breast
спина,back
живот,belly
талия,waist
нога,leg
стопа,foot
палец ноги,toe
колено,knee
пятка,heel
рука,arm
кисть,hand
палец руки,finger
локоть,elbow
ноготь,nail
голова,head
глаз,eye
бровь,eyebrow
ухо,ear
рот,mouth
губа,lip
зуб,tooth
язык,tongue
лицо,face
нос,nose
подбородок,chin
челюсть,Jaw dʒɔː
лоб,forehead
щека,cheek
мозг,brain
легкие,lungs
сердце,heart
желудок,stomach
кишечник,intestine
печень,liver
почки,kidney
Отношения между людьми,Human relations
ребенок,child
сын,son
дочь,daughter
муж,husband
жена,wife
свадьба,wedding
развод,divorce
Родственники,Relatives
дядя,uncle
тетя,aunt
племянник,nephew
племянница,niece
двоюродный/ая брат/ сестра,cousin
работодатель,employer
наемный / служащий,employee
хозяин,master
любовник,lover
здание,building
квартира,apartment, flat
этаж,floor
двор,yard
ворота / калитка,gate
забор,fence
адрес,address
площадь,square
крыша,roof
стена,wall
угол,corner
лестница,stair
лифт,lift
дверь,door
замок,lock
ключ,key
кран водопроводный,tap
выключатель,switch
отопление,heating
кондиционер,air-conditioner
Комнаты,Rooms
кухня,kitchen
ванная,bathroom
туалет,toilet
коридор,corridor
гостиная,living room
прихожая,hall
спальная,bedroom
столовая,canteen
кабинет,study
Мебель ,Furniture
стул,chair
кресло,armchair
Кровать, постель,bed
диван,sofa
одежный шкаф,wardrobe
посудный шкаф,cupboard
книжный шкаф,bookcase
ковер,carpet
зеркало,mirror
картина,picture
шторы,blinds
вешалка,coat rack
простыня,sheet
одеяло,blanket
подушка,pillow
Сосуды ,Vessels 
сумка,bag
чемодан,suitcase
бочка,barrel
рюкзак,backpack
ведро,bucket
ваза,vase
канистра,can
утюг,iron
пылесос,vacuum cleaner
холодильник,fridge
стиральная машина,washing machine
плита,cooker
Верхняя одежда
пальто,coat
шуба,fur coat
Одежда / белье,Clothes / underclothes
костюм,suit
куртка,jacket
рубашка,shirt
футболка,T-shirt
Штаны,pants
джинсы,jeans
одежда / платье,dress
блуза,blouse
юбка,skirt
бюстгальтер,bra
носки,socks
колготки,tights
ботинок / туфля,shoe
кроссовки,trainers
шляпа,hat
шапка / фуражка / кепка,cap
Элементы одежды,Elements of dress 
рукав,sleeve
воротник,collar
пуговица,button
ремень,belt
галстук,tie
шарф,scarf
перчатки,gloves
зонтик,umbrella
очки,sunglasess
Бумажник,Wallet
Блюдо, еда,meal
завтрак,breakfast
второй завтрак / обед,lunch
ужин,dinner
вкус,taste
Блюда,Dishes
первое блюдо,the first course
второе блюдо,the second course
десерт,Dessert dɪˈzɜːrt
суп,soup
гарнир,garnish
овсяная каша,porridge
лапша,noodles
жареный картофель,fried potatoes
картофельное пюре,mashed potatoes
вареное яйцо,boiled egg
яичница,fried eggs
котлета,cutlet
мясо,meat
говядина,beef
свинина,pork
баранина,mutton
соль,salt
Напитки,Drinks 
минеральная вода,mineral water
вино,wine
Сладости,Sweets
пирог,pie
сахар,sugar
Печенье,cookie
мед,honey
жевательная резинка,chewing gum
сливочное масло,butter
сыр,cheese
творог,cottage cheese
сливки,cream
сметана,soured cream
гречневая крупа (каша),buckwheat
манная крупам (каша),semolina
овсяная крупа (каша),Oatmeal, porridge
колбаса,sausage
Консервы.,tinned food
Хлеб,Bread
булочка,bun
блин,pancake
пончик,donut
мука,flour
тесто,dough
тарелка ,plate
салфетка,napkin
ложка,spoon
вилка,fork
нож,knife
тарелка / блюдо,dish
стакан,glass
чашка,cup
Чаша,bowl
кастрюля,pan
сковорода,frying pan
горшок,pot
дружба,friendship
оскорбление,insult
Желание,Wish
бытие,being
наука,science
теория,theory
практика,practice
целое,whole
часть,part
качество,quality
Порядок, заказ,order
пространство,space
место,place, room, spot
причина,reason 
Тема,theme, topic, issue
Пример,example
Метод,method
Способ, путь,way
Лаборатория,lab
Тип (Типо) Вид,Kind of
Тип,Type of
Правило,rule
Закон,law
Неудача,failure
Ошибка,mistake
Сообщение,Report
Мысль,thought
Критика,Criticism
Отношение,attitude
точка зрения,point of view
Образование ,Education
воспитание,upbringing
обучение,teaching
Степень Бакалавра (4 года),Bachelor degree
Магистра (2 года),Master degree
начальная школа (1-4 класс),elementary school
начальная школа (1-4 класс),primary school
средняя школа (5-8),secondary school
старшие классы (9-11),high school
техникум,technical school
Куча людей,Bunch of people
ВУЗ,higher school
Предмет, субъект,subject
математика,mathematics
физика,physics
биология,biology
химия,chemistry
рисование / черчение,drawing
история,history
иностранный язык,foreign language
физическая культура,physical training
Учеба,Studies
класс (год обучения),year, grade
задание,task
Ученик (начальная школа),pupil
доска,blackboard
парта,desk
учебник,textbook
ручка,pen
карандаш,pencil
линейка,ruler
Резинка, резина,rubber
Учебный год,school year
оценка,mark
Конкурс, соревнование,competition
экзамен,examination, exam
диплом,diploma
язык,language
речь,speech
словарный запас,vocabulary
буква,letter
правописание,spelling
произношение,pronunciation
Кино,movie
документальный фильм,documentary
детектив,detective
комедия,comedy
остросюжетный фильм,thriller
фильм ужасов,horror film
мультфильм,cartoons
оператор,cameraman
билет,ticket
Место (сидячее),seat
сцена,stage
выступление,performance
гардероб,cloakroom
Группа (музыкантов),band
певец,singer
барабан,drum
название,title
обложка,cover
автор,author
писатель,writer
роман,novel
сказка,fairy tale
художественная литература,fiction
библиотека,library
книжный магазин,bookshop
Спорт,Sport
легкая атлетика,track and field athletics
гимнастика,gymnastics
коньки,skating
лыжный спорт,skiing
борьба,wrestling
хоккей,hockey
зритель,viewer
соревнование,competition
конкурс,contest
чемпионат,championship
победа,victory
ничья,draw
счет,score
очки,points
команда,team
атлет,athlete
тренировка,training
Труд,Labour
роль,role
обязанность,duty
место,place
Сфера, Ветвь,Branch
сельское хозяйство,agriculture
Строительство, стройка,construction
завод / фабрика,factory
завод / станция,plant
Занятие,occupation
бухгалтер,accountant
Сантехник,plumber
рабочий,worker
электрик,electrician
водитель,driver
инженер,engineer
юрист,lawyer
секретарь,secretary
переводчик,interpreter, translator
начальник,chief
Инструменты,Tools
оборудование,equipment
молоток,hammer
топор,axe
плоскогубцы,pliers
ножницы,Scissors |ˈsɪzərz|
провод,wire
Почта,Post
почтовое отделение,post office
получатель,addressee
письмо,letter
конверт,envelope
посылка,parcel
Железная дорога,Railway
вокзал,railway station
поезд,train
пересадка,change
багаж,luggage
Авиатранспорт,Air transport
крыло,wing
Самолёт,plane
стюардесса,air hostess
полет,flight
путешествие,journey
регистрация,check-in
посадка пассажиров на борт,boarding
грузовик,Truck
шоссе,highway
перекресток дорог,crossroad
Подземный переход,underpass
дорожное движение,traffic
дорожная пробка,traffic jam
переход пешеходный,pedestrian 
светофор,traffic lights
багажник,boot
пристежной ремень,seat belt
заправочная станция,gas station
мойка автомобилей,car wash
деревня,village
проспект,avenue
площадь,square
тротуар,Pavement /sidewalk
трамвай,tram
метро,Subway
Кино, кинотеатр,movie
театр,theatre
зоопарк,zoo
церковь,church
услуги,service
товар,goods
цена,price
касса,cash desk
кассир,cashier
продавец,seller
покупатель,buyer
покупатель / клиент,customer
рынок,market
прачечная,laundry
слух,rumour
ЛОЖЬ,lie
Общение,communication
родной язык,mother tongue
иностранный язык,foreign language
смысл, знаение,meaning
беседа,conversation
встреча,meeting
приглашение,invitation
хозяин,host
гость,guest
поведение,behaviour
Государство,State
граница,border
владелец,owner
преступник,criminal
суд,court (of justice)
адвокат,lawyer, attorney
штраф,fine
тюрьма,jail, prison
Политика,Politics
правительство,government
статья,article
счет,account
гражданин,citizen
гражданство,citizenship
смерть,death
Травма,injury
синяк,Bruise |bruːz|
грипп,flu
рак,cancer
головная боль,headache
зубная боль,toothache
лечение,treatment
лекарство,medicine
аптека,drugstore
больница,hospital
скорая помощь,ambulance
медсестра,nurse
пациент / больной,patient
Психолог,Psychologist
Парикмахер,Hairdresser
Парикмахер (мужской),Barber
Политик,Politician
Священник,Priest
Ладонь ,Palm
Плечо,Shoulder
Ягодицы,Buttocks 
Шрам,Scar
Прыщ,pimple
Туфли на высоком каблуке,High heels 
Туфли на низком каблуке,Low heels 
Цепочка,Chain
Серьги,Pins / earrings 
Мусорное ведро,Dustbin
Вход ,Entrance
Подоконник ,Window-sill 
Многоквартирный дом ,Block of flats
Небоскрёб ,Sky-scraper
Родинка,Mole
Продуктовый магазин,Grocery store
Банкомат,ATM
Район,District
Центр города,Downtown- the city centre
Загород,Countryside
Парк аттракционов,Amusement park
Жилой район,Residential area
Пригород,Suburb
Район, окрестность,Neighbourhood 
Набережная,Embankment
Пешеходный переход,zebra
Урна,Litter bin
Достопримечательности,Sights 
Аренда машины,Car hire = car rental
Мойка,Car wash 
 Пачка / пакет (молока, сигарет),packet of (milk, cigarettes)
 Кусок (хлеба),piece of (bread)
 Бутылка (молока),Bottle of (milk)
 Коробка (печенья),Box of (cookies)
 Плитка (шоколада),Bar of (chocolate)
Половина,Half
 Рулон (бумаги),Roll of (paper)
Мелочь, сдача,Change
Курорт,Resort
Чайник,Kettle
Кружка,Mug
Чаевые,Tips
Воля,Will
Цель, смысл,Purpose
Взгляды,Views
Навык,Skill
Мнение,Opinion
Опыт,Experience







